Departamento,Municipio,Zona,Centro,Acta,Inconsistencias,DC,LIBRE,PINU,PLH,PNH,PDF Link
VALLE,LANGUE,02,005_SAN JOSE DE CANDELARIA - ESC. OSCAR H. VILLEDA,17699,1,0,114,1,50,47,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17699.pdf
VALLE,LANGUE,02,007_LOS LLANOS - ESC. JOSE TRINIDAD CABAÑAS,17700,0,0,58,0,73,50,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17700.pdf
VALLE,LANGUE,02,010_APAZALA - ESC. GUSTAVO ZUNIGA,17705,1,0,25,0,58,77,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17705.pdf
VALLE,LANGUE,02,010_APAZALA - ESC. GUSTAVO ZUNIGA,17706,1,0,39,0,53,69,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17706.pdf
VALLE,LANGUE,02,013_CONCEPCION DE MARIA O POTRERO - CEB JOSE CECILIO DEL VALLE,17709,1,1,37,1,63,77,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17709.pdf
VALLE,LANGUE,02,013_CONCEPCION DE MARIA O POTRERO - CEB JOSE CECILIO DEL VALLE,17710,1,0,25,0,54,85,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17710.pdf
VALLE,LANGUE,02,015_EL HATO - ESC. POLICARPO BONILLA,17714,1,0,61,0,71,41,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17714.pdf
VALLE,LANGUE,02,016_EL NARANJO No. 1 - ESC. RAMON ROSA,17715,1,0,74,1,102,81,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17715.pdf
VALLE,LANGUE,02,017_EL BURIO - ESC. LEMPIRA,17716,1,0,80,0,60,88,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17716.pdf
VALLE,LANGUE,02,021_LOS LLANITOS VERDES - CEB JOSÉ CECILIO DEL VALLE,17721,1,0,38,1,19,85,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17721.pdf
VALLE,LANGUE,02,022_EL PITAL - ESC. LUIS LANDA,17723,1,0,44,0,42,56,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17723.pdf
VALLE,LANGUE,02,024_SAN FRANCISCO No. 1 - CEB FRANCISCO MORAZAN,17727,1,0,56,0,26,57,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17727.pdf
VALLE,LANGUE,02,025_EL CHAPARRAL - CEB JUAN LINDO,17729,1,0,24,0,54,70,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17729.pdf
VALLE,LANGUE,02,028_LAS OLIVAS - CEB DIONISIO DE HERRERA,17732,1,0,67,0,49,145,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17732.pdf
VALLE,LANGUE,02,029_AGUA ZARCA - CEB DR. MARCO AURELIO SOTO,17733,1,0,15,0,49,82,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17733.pdf
VALLE,SAN FRANCISCO DE CORAY,02,001_SAN FRANCISCO DE CORAY - ESC. TERENCIO SIERRA,17739,1,0,66,0,32,124,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17739.pdf
VALLE,SAN FRANCISCO DE CORAY,02,004_EL ESPINO - ESC. EL ADELANTO,17745,1,0,108,0,53,61,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17745.pdf
VALLE,SAN FRANCISCO DE CORAY,02,010_TALPETATES - CEB JOSE CECILIO DEL VALLE,17754,1,0,46,0,42,184,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17754.pdf
VALLE,SAN FRANCISCO DE CORAY,02,010_TALPETATES - CEB JOSE CECILIO DEL VALLE,17755,1,0,82,0,34,163,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17755.pdf
VALLE,SAN LORENZO,01,003_BO. LA CEIBITA - ESC. FRANCISCO MORAZAN,17780,1,0,28,1,111,74,https://storage.googleapis.com/actas_elecciones_hn2025/actas/17780.pdf
